time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P(Pa)
2022-04-27 11:44:31.7000,-0.079,-0.025,-0.105,-0.76,-8.55,1.39,0.7,-0.06,0.36,100382.401
2022-04-27 11:44:31.7100,-0.114,0.052,-0.134,-0.38,-10.56,1.14,0.91,0.0,0.16,100382.401
2022-04-27 11:44:31.7200,-0.071,-0.192,-0.132,-0.56,-8.71,1.74,0.92,0.03,0.09,100382.401
2022-04-27 11:44:31.7300,-0.08,-0.341,-0.054,-0.85,-6.76,1.0,0.87,0.03,0.01,100382.401
2022-04-27 11:44:31.7400,-0.164,-0.434,-0.054,-0.19,-5.79,0.87,0.7,0.08,-0.14,100382.401
2022-04-27 11:44:31.7500,-0.233,-0.469,-0.126,0.58,-5.1,1.39,0.46,0.14,-0.33,100382.401
2022-04-27 11:44:31.7600,-0.335,-0.469,-0.068,1.47,-5.13,1.59,0.12,0.06,-0.55,100382.401
2022-04-27 11:44:31.7690,-0.367,-0.462,0.119,2.24,-5.15,0.07,-0.24,-0.07,-0.7,100382.401
2022-04-27 11:44:31.7800,-0.255,-0.534,0.289,1.77,-4.87,-1.73,-0.36,-0.04,-0.78,100382.401
2022-04-27 11:44:31.7900,0.009,-0.675,0.416,-0.18,-3.71,-3.2,-0.35,-0.07,-0.54,100382.401
2022-04-27 11:44:31.7990,0.358,-0.951,0.524,-3.5,-1.52,-4.3,-0.35,-0.07,-0.54,100382.401
2022-04-27 11:44:31.8090,0.51,-1.072,0.72,-5.92,0.64,-5.91,-0.32,-0.14,0.58,100382.401
2022-04-27 11:44:31.8200,0.267,-1.129,0.552,-5.32,1.21,-5.81,-0.26,0.57,0.92,100382.401
2022-04-27 11:44:31.8290,-0.108,-1.043,0.303,-1.17,1.03,-4.67,-0.26,0.57,0.92,100382.401
2022-04-27 11:44:31.8390,-0.439,-0.761,-0.045,1.59,-1.21,0.6,-0.3,-0.08,0.52,100382.401
2022-04-27 11:44:31.8490,-0.425,-0.887,-0.002,3.49,-2.19,-0.17,-0.48,0.11,0.15,100382.401
2022-04-27 11:44:31.8590,-0.174,-1.207,-0.14,1.31,1.11,1.5,0.27,0.08,0.09,100382.401
2022-04-27 11:44:31.8690,0.083,-1.512,0.073,-1.43,4.02,0.52,0.38,-0.12,0.24,100382.401
2022-04-27 11:44:31.8800,0.105,-1.557,0.374,-2.68,5.9,-2.35,0.38,-0.12,0.24,100382.401
2022-04-27 11:44:31.8890,-0.065,-1.392,0.653,-1.48,4.48,-5.15,0.26,-0.26,0.24,100382.401
2022-04-27 11:44:31.8990,-0.188,-1.03,0.669,0.03,2.16,-6.71,-0.36,-0.55,-0.14,100382.401
2022-04-27 11:44:31.9090,-0.162,-0.901,0.48,0.48,-1.43,-5.15,-0.36,-0.55,-0.14,100382.401
2022-04-27 11:44:31.9190,-0.11,-1.22,0.151,-0.25,1.28,-2.64,-0.33,-0.75,-0.31,100382.401
2022-04-27 11:44:31.9290,-0.123,-1.374,-0.139,-0.27,3.48,0.74,-0.03,-0.7,-0.3,100382.401
2022-04-27 11:44:31.9390,-0.156,-1.393,-0.104,0.08,3.65,1.91,-0.03,-0.7,-0.3,100382.401
2022-04-27 11:44:31.9490,-0.188,-1.561,0.192,0.29,5.24,-0.68,-0.04,-0.7,-0.3,100382.401
2022-04-27 11:44:31.9590,-0.351,-1.538,0.407,1.53,5.31,-2.94,-0.21,-0.84,-0.36,100382.401
