time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-04-27 12:13:21.7650,0.093,1.418,-0.352,-0.19,-4.58,1.37,0.7,-0.23,-0.56
2022-04-27 12:13:21.7750,0.084,1.401,-0.331,-0.14,-4.34,1.29,0.74,-0.24,-0.57
2022-04-27 12:13:21.7850,0.079,1.379,-0.322,-0.14,-4.15,1.0,0.74,-0.22,-0.58
2022-04-27 12:13:21.7950,0.073,1.354,-0.313,-0.13,-3.94,0.87,0.69,-0.2,-0.56
2022-04-27 12:13:21.8040,0.069,1.323,-0.316,-0.16,-3.7,0.72,0.62,-0.18,-0.55
2022-04-27 12:13:21.8140,0.063,1.301,-0.324,-0.15,-3.43,0.72,0.55,-0.14,-0.54
2022-04-27 12:13:21.8250,0.058,1.289,-0.325,-0.15,-3.25,0.73,0.54,-0.11,-0.52
2022-04-27 12:13:21.8330,0.051,1.266,-0.329,-0.15,-3.12,0.69,0.55,-0.09,-0.5
2022-04-27 12:13:21.8440,0.041,1.251,-0.333,-0.12,-2.92,0.68,0.56,-0.07,-0.48
2022-04-27 12:13:21.8540,0.038,1.226,-0.339,-0.08,-2.77,0.68,0.55,-0.05,-0.47
2022-04-27 12:13:21.8640,0.031,1.216,-0.338,-0.1,-2.54,0.67,0.52,-0.04,-0.45
2022-04-27 12:13:21.8740,0.027,1.206,-0.341,-0.08,-2.5,0.62,0.48,-0.05,-0.43
2022-04-27 12:13:21.8850,0.022,1.192,-0.341,-0.07,-2.38,0.6,0.44,-0.06,-0.42
2022-04-27 12:13:21.8940,0.018,1.176,-0.337,-0.06,-2.26,0.55,0.4,-0.07,-0.4
2022-04-27 12:13:21.9040,0.014,1.158,-0.333,-0.06,-2.1,0.46,0.36,-0.07,-0.37
2022-04-27 12:13:21.9140,0.012,1.141,-0.334,-0.07,-1.93,0.41,0.34,-0.05,-0.35
2022-04-27 12:13:21.9240,0.007,1.134,-0.336,-0.08,-1.8,0.39,0.33,-0.04,-0.33
2022-04-27 12:13:21.9330,0.004,1.13,-0.341,-0.06,-1.76,0.39,0.33,-0.02,-0.31
2022-04-27 12:13:21.9440,0.001,1.12,-0.346,-0.06,-1.72,0.41,0.35,0.01,-0.29
2022-04-27 12:13:21.9540,0.001,1.108,-0.352,-0.07,-1.61,0.42,0.38,0.03,-0.26
2022-04-27 12:13:21.9640,-0.002,1.106,-0.357,-0.09,-1.53,0.45,0.39,0.05,-0.24
2022-04-27 12:13:21.9740,-0.005,1.103,-0.36,-0.07,-1.53,0.46,0.4,0.08,-0.21
2022-04-27 12:13:21.9840,-0.004,1.097,-0.361,-0.07,-1.5,0.45,0.4,0.11,-0.18
2022-04-27 12:13:21.9940,-0.004,1.088,-0.361,-0.09,-1.45,0.42,0.39,0.12,-0.15
2022-04-27 12:13:22.0040,-0.006,1.083,-0.36,-0.09,-1.38,0.38,0.37,0.12,-0.13
2022-04-27 12:13:22.0140,-0.009,1.082,-0.362,-0.08,-1.35,0.34,0.34,0.12,-0.1
2022-04-27 12:13:22.0230,-0.008,1.076,-0.361,-0.06,-1.35,0.33,0.3,0.12,-0.09
2022-04-27 12:13:22.0330,-0.009,1.065,-0.356,-0.08,-1.28,0.28,0.24,0.1,-0.07
2022-04-27 12:13:22.0430,-0.01,1.055,-0.352,-0.06,-1.18,0.21,0.19,0.07,-0.06
2022-04-27 12:13:22.0530,-0.011,1.047,-0.349,-0.06,-1.09,0.16,0.14,0.03,-0.05
2022-04-27 12:13:22.0630,-0.01,1.038,-0.343,-0.05,-1.01,0.11,0.12,0.02,-0.04
2022-04-27 12:13:22.0740,-0.007,1.034,-0.34,-0.07,-0.94,0.04,0.12,0.02,-0.01
2022-04-27 12:13:22.0830,-0.007,1.031,-0.339,-0.09,-0.91,0.01,0.12,0.03,0.0
2022-04-27 12:13:22.0930,-0.007,1.027,-0.334,-0.08,-0.89,-0.02,0.12,0.05,0.03
2022-04-27 12:13:22.1030,-0.004,1.021,-0.333,-0.09,-0.84,-0.07,0.12,0.09,0.05
2022-04-27 12:13:22.1130,-0.005,1.022,-0.333,-0.11,-0.8,-0.1,0.12,0.12,0.07
2022-04-27 12:13:22.1220,-0.005,1.023,-0.336,-0.09,-0.82,-0.1,0.12,0.15,0.09
2022-04-27 12:13:22.1320,-0.005,1.023,-0.341,-0.07,-0.83,-0.07,0.12,0.15,0.1
2022-04-27 12:13:22.1420,-0.004,1.021,-0.348,-0.05,-0.84,-0.02,0.11,0.15,0.11
2022-04-27 12:13:22.1530,-0.001,1.022,-0.351,-0.06,-0.82,0.03,0.09,0.14,0.12
2022-04-27 12:13:22.1620,0.002,1.023,-0.353,-0.07,-0.83,0.04,0.08,0.12,0.13
2022-04-27 12:13:22.1720,0.003,1.023,-0.357,-0.08,-0.84,0.06,0.07,0.1,0.14
2022-04-27 12:13:22.1820,0.006,1.018,-0.364,-0.08,-0.83,0.11,0.06,0.06,0.16
2022-04-27 12:13:22.1930,0.008,1.01,-0.37,-0.09,-0.78,0.17,0.06,0.01,0.17
2022-04-27 12:13:22.2020,0.008,1.003,-0.377,-0.09,-0.69,0.23,0.07,-0.03,0.17
2022-04-27 12:13:22.2120,0.008,0.999,-0.382,-0.07,-0.65,0.28,0.09,-0.07,0.17
2022-04-27 12:13:22.2230,0.009,0.996,-0.386,-0.06,-0.61,0.32,0.12,-0.1,0.17
2022-04-27 12:13:22.2310,0.01,0.992,-0.393,-0.06,-0.58,0.35,0.16,-0.13,0.17
2022-04-27 12:13:22.2420,0.01,0.99,-0.398,-0.05,-0.55,0.4,0.2,-0.16,0.16
2022-04-27 12:13:22.2520,0.011,0.992,-0.405,-0.05,-0.55,0.44,0.25,-0.17,0.16
2022-04-27 12:13:22.2620,0.01,0.995,-0.409,-0.05,-0.58,0.48,0.29,-0.17,0.16
2022-04-27 12:13:22.2730,0.013,0.993,-0.411,-0.04,-0.62,0.48,0.33,-0.17,0.16
2022-04-27 12:13:22.2820,0.014,0.989,-0.413,-0.05,-0.59,0.48,0.36,-0.16,0.16
2022-04-27 12:13:22.2920,0.016,0.989,-0.415,-0.05,-0.58,0.46,0.37,-0.14,0.16
2022-04-27 12:13:22.3020,0.016,0.987,-0.417,-0.06,-0.59,0.45,0.39,-0.13,0.16
2022-04-27 12:13:22.3120,0.018,0.986,-0.422,-0.06,-0.59,0.44,0.4,-0.12,0.16
2022-04-27 12:13:22.3220,0.02,0.985,-0.427,-0.06,-0.59,0.45,0.4,-0.11,0.17
2022-04-27 12:13:22.3310,0.02,0.983,-0.43,-0.07,-0.59,0.46,0.4,-0.09,0.17
2022-04-27 12:13:22.3410,0.02,0.982,-0.433,-0.06,-0.59,0.45,0.39,-0.09,0.17
2022-04-27 12:13:22.3510,0.021,0.975,-0.437,-0.05,-0.58,0.45,0.38,-0.1,0.16
2022-04-27 12:13:22.3610,0.02,0.968,-0.443,-0.04,-0.53,0.46,0.38,-0.12,0.15
2022-04-27 12:13:22.3720,0.022,0.961,-0.447,-0.03,-0.48,0.49,0.37,-0.15,0.14
2022-04-27 12:13:22.3810,0.022,0.955,-0.451,-0.04,-0.42,0.49,0.37,-0.17,0.13
2022-04-27 12:13:22.3910,0.022,0.95,-0.453,-0.04,-0.37,0.49,0.38,-0.18,0.12
